"","votemail1a","votemail1b","votecount","vote20jb"
"652",1,77,2,2
"653",1,77,4,2
"654",1,77,4,1
"655",4,77,4,1
"656",7,77,1,1
"657",1,77,1,1
"658",2,77,4,2
"659",2,77,3,2
"660",2,77,4,1
"661",2,77,3,1
"662",1,77,2,2
"663",4,77,4,3
"664",7,77,1,1
"665",7,77,2,1
"666",4,77,3,1
"667",2,77,3,1
"668",3,77,3,4
"669",1,77,4,4
"670",2,77,4,2
"671",5,77,3,1
"672",4,77,4,2
"673",6,77,4,1
"674",5,77,3,1
"675",1,77,3,1
"676",4,77,4,4
"677",3,77,3,1
"678",1,77,4,2
"679",4,77,2,4
"680",3,77,3,1
"681",7,77,3,1
"682",1,77,5,1
"683",4,77,4,4
"684",3,77,3,3
"685",1,77,3,2
"686",1,77,5,1
"687",1,77,3,2
"688",2,77,4,2
"689",3,77,3,2
"690",6,77,4,1
"691",1,77,5,1
"692",3,77,4,1
"693",1,77,4,2
"694",1,77,4,3
"695",4,77,3,1
"696",6,77,4,1
"697",4,77,2,1
"698",7,77,2,1
"699",1,77,3,1
"700",3,77,2,2
"701",1,77,4,2
"702",3,77,4,2
"703",3,77,2,2
"704",6,77,2,4
"705",2,77,5,2
"706",1,77,5,2
"707",7,77,2,1
"708",4,77,3,2
"709",4,77,4,4
"710",7,77,3,2
"711",3,77,3,2
"712",2,77,4,2
"713",7,77,1,1
"714",1,77,5,2
"715",2,77,4,2
"716",3,77,3,2
"717",4,77,2,2
"718",2,77,5,3
"719",4,77,1,1
"720",2,77,4,2
"721",1,77,5,1
"722",5,77,4,1
"723",2,77,2,2
"724",1,77,3,2
"725",7,77,4,1
"726",1,77,4,1
"727",7,77,1,4
"728",4,77,4,3
"729",4,77,3,4
"730",1,77,4,1
"731",7,77,4,1
"732",2,77,4,2
"733",4,77,3,1
"734",1,77,4,2
"735",5,77,4,1
"736",1,77,3,2
"737",6,77,3,2
"738",4,77,5,2
"739",3,77,2,2
"740",4,77,5,2
"741",2,77,4,1
"742",3,77,4,1
